course,updated_date,course_long_title,college,actual_enrollment,maximum_enrollment,remaining_seats,waitlist,percent_full
POLS5520,2025-01-20,Criminal Justice Internship,School of Public and International Affairs,0,40,40,0,0.0
POPH5445,2025-01-20,Food Animal Practice,College of Veterinary Medicine,0,10,10,0,0.0
POPH5900,2025-01-20,Studies in Population Health,College of Veterinary Medicine,0,2,2,0,0.0
PSYC3980,2025-01-20,Research Design in Psychology,Franklin College of Arts and Sciences,30,50,20,0,0.6
PSYC4120,2025-01-20,Sensation and Perception,Franklin College of Arts and Sciences,10,50,40,0,0.2
PSYC4140,2025-01-20,Cognitive Neuroscience,Franklin College of Arts and Sciences,2,0,-2,0,0.0
PSYC4170,2025-01-20,Introduction to Black Psychology,Franklin College of Arts and Sciences,2,10,8,0,0.2
REAL4800,2025-01-20,Internship in Real Estate,Terry College of Business,0,6,6,0,0.0
SOCI3080,2025-01-20,Youth Subcultures,Franklin College of Arts and Sciences,42,100,58,0,0.42
SOCI5500,2025-01-20,Criminal Justice Internship,Franklin College of Arts and Sciences,0,20,20,0,0.0
SOCI5510,2025-01-20,Criminal Justice Internship,Franklin College of Arts and Sciences,0,20,20,0,0.0
SOCI5520,2025-01-20,Criminal Justice Internship,Franklin College of Arts and Sciences,0,20,20,0,0.0
STAT4220,2025-01-20,Applied Experimental Designs,Franklin College of Arts and Sciences,18,60,42,0,0.3
STAT4230,2025-01-20,Applied Regression Analysis,Franklin College of Arts and Sciences,16,40,24,0,0.4
TXMI3910,2025-01-20,Practicum in Fashion Merchandising,College of Family and Consumer Sciences,0,20,20,0,0.0
TXMI5720,2025-01-20,Social Entrepreneurship and Product Development in Ghana,College of Family and Consumer Sciences,0,20,20,0,0.0
TXMI5910,2025-01-20,"Textiles, Merchandising and Interiors Internship",College of Family and Consumer Sciences,0,200,200,0,0.0
UNIV1105,2025-01-20,Introducing English Composition,various,0,48,48,0,0.0
UNIV1201,2025-01-20,Learning for Success at the University,various,0,120,120,0,0.0
UNIV2900,2025-01-20,Special Topics in Learning and Success,various,0,48,48,0,0.0
WASR4700L,2025-01-20,"Hydrology, Geology, and Soils of Georgia",Warnell School of Forestry and Natural Resources,2,30,28,0,0.06666666666666667
WMST3270S,2025-01-20,Gendered Politics of Food,Franklin College of Arts and Sciences,14,24,10,0,0.5833333333333334
